,Timestamp,I come to lecture:,I've had prior machine learning / data science experience,Which section are you in?,"About how long, in hours, did you study for exam 1?",What year are you?,Did you do the readings?,How many hours a day on average do you spend on sites with infinite scroll?,How many hours of sleep did you get the night before the exam?,Did you leave the exam early?,What grade do you think you got?,I wanted the extra credit but just put down random responses (you'll still get the extra credit if you say yes),Total Score,Max Points
148,10/20/2025 17:07:16,Basically never,Some,9:30am,5.0,Sophomore,All of them,3.5,6.0,No,A,No,51.9,65.0
149,10/20/2025 17:54:45,More than half the time,Quite a bit,2:00pm,2.0,It's complicated,Some of them,0.0,6.0,No,B,No,37.4,65.0
150,10/20/2025 17:59:01,Always,Some,9:30am,8.0,Junior,Some of them,3.0,6.0,No,B,No,41.8,65.0
151,10/20/2025 18:06:32,Always,None,9:30am,10.0,Junior,Some of them,2.0,4.0,Yes,B,No,43.9,65.0
152,10/20/2025 18:24:52,Basically never,Some,9:30am,4.0,Junior,None of them,2.0,8.0,No,D,No,43.3,65.0
153,10/20/2025 18:46:36,Always,Some,2:00pm,14.0,Senior,All of them,2.0,5.0,No,B,No,29.4,65.0
154,10/20/2025 19:26:51,More than half the time,Some,9:30am,8.0,It's complicated,Some of them,5.0,6.0,No,B,No,43.3,65.0
155,10/20/2025 19:40:00,Always,None,9:30am,10.0,Junior,All of them,5.0,5.0,No,B,No,53.9,65.0
156,10/20/2025 20:11:59,More than half the time,Some,2:00pm,10.0,Junior,Some of them,5.0,6.0,No,C,No,45.9,65.0
157,10/20/2025 20:15:38,More than half the time,Some,2:00pm,10.0,Junior,All of them,4.0,5.5,No,C,No,35.8,65.0
158,10/20/2025 21:16:29,Always,Some,2:00pm,10.0,Junior,Some of them,2.0,7.5,No,C,No,39.3,65.0
159,10/20/2025 22:10:24,Always,None,9:30am,15.0,Junior,Some of them,5.0,6.0,No,C,No,27.3,65.0
160,10/20/2025 23:43:34,Less than half the time,Some,9:30am,6.0,Junior,Some of them,2.0,4.0,No,C,No,37.9,65.0
161,10/20/2025 23:46:30,Always,Some,2:00pm,5.0,Junior,Some of them,2.0,6.0,No,B,No,42.8,65.0
162,10/21/2025 0:04:38,Always,Quite a bit,9:30am,7.0,Junior,Some of them,5.0,7.0,No,B,No,42.4,65.0
163,10/21/2025 0:14:35,More than half the time,Quite a bit,2:00pm,10.0,Junior,Some of them,0.25,8.0,No,A,No,55.9,65.0
164,10/21/2025 0:28:14,Basically never,None,9:30am,5.0,Junior,All of them,2.0,7.0,Yes,B,No,54.4,65.0
165,10/21/2025 0:32:05,Less than half the time,None,9:30am,5.0,Junior,Some of them,2.0,4.0,No,C,No,40.0,65.0
166,10/21/2025 1:40:09,Always,Some,2:00pm,8.0,Junior,I don't want to respond,2.0,4.0,No,C,No,28.9,65.0
167,10/21/2025 1:42:59,Less than half the time,Some,2:00pm,8.0,Junior,Some of them,6.0,1.5,No,Prefer not to say,No,10.3,65.0
168,10/21/2025 5:33:02,Always,None,2:00pm,8.0,Sophomore,All of them,2.0,6.0,No,A,No,59.5,65.0
169,10/21/2025 9:25:27,More than half the time,Some,2:00pm,5.0,Senior,Some of them,3.0,5.0,No,F,No,32.5,65.0
170,10/21/2025 11:09:13,Always,None,2:00pm,10.0,Sophomore,Some of them,5.0,7.0,No,B,No,42.4,65.0
171,10/21/2025 12:38:27,Always,Some,2:00pm,7.0,Junior,Some of them,2.0,7.0,No,B,No,45.4,65.0
172,10/21/2025 14:10:15,More than half the time,None,2:00pm,4.0,Senior,All of them,0.0,4.0,Yes,B,No,58.1,65.0
173,10/21/2025 14:12:21,Always,None,2:00pm,10.0,Junior,All of them,2.0,9.0,No,C,No,46.4,65.0
174,10/21/2025 15:01:17,Always,Quite a bit,9:30am,2.5,Sophomore,None of them,0.5,6.0,Yes,B,No,41.8,65.0
175,10/21/2025 15:14:41,More than half the time,Some,9:30am,4.0,Junior,Some of them,4.0,7.0,No,C,No,21.9,65.0
176,10/21/2025 15:27:56,Basically never,Quite a bit,2:00pm,6.0,Junior,Some of them,2.0,8.0,No,B,No,28.4,65.0
177,10/21/2025 16:21:43,Always,Some,2:00pm,3.0,Junior,All of them,2.0,8.0,Yes,B,No,44.1,65.0
178,10/21/2025 16:32:22,More than half the time,Quite a bit,2:00pm,7.0,Junior,All of them,2.0,5.0,No,B,No,54.3,65.0
179,10/21/2025 16:42:38,Always,None,9:30am,8.0,Junior,Some of them,4.0,6.0,No,D,No,43.0,65.0
180,10/21/2025 17:28:35,More than half the time,None,2:00pm,15.0,Junior,All of them,1.0,4.0,No,B,No,45.8,65.0
181,10/21/2025 18:57:20,More than half the time,Some,9:30am,2.0,Junior,All of them,2.0,0.0,Yes,B,No,41.0,65.0
182,10/22/2025 2:01:22,Always,Some,9:30am,6.0,Junior,Some of them,4.0,7.0,No,C,No,34.3,65.0
183,10/22/2025 4:52:57,Less than half the time,Some,9:30am,3.0,Junior,Some of them,0.0,2.0,No,Prefer not to say,No,22.8,65.0
184,10/22/2025 14:38:30,Always,Some,2:00pm,12.0,Junior,Some of them,0.3,4.0,No,B,Yes,41.8,65.0
185,10/22/2025 19:02:23,Always,None,9:30am,10.0,Junior,Some of them,4.0,3.0,No,D,No,18.0,65.0
186,10/23/2025 10:29:15,Always,None,9:30am,6.0,Junior,None of them,6.0,8.0,Yes,B,No,33.1,65.0
187,10/23/2025 10:32:42,More than half the time,None,9:30am,12.0,Junior,Some of them,3.0,5.0,No,C,No,37.8,65.0
188,10/23/2025 12:18:17,Always,Some,2:00pm,4.0,Senior,Some of them,2.0,7.0,No,B,No,35.9,65.0
189,10/23/2025 12:32:43,Always,None,2:00pm,3.0,Senior,All of them,3.0,8.0,Yes,C,No,41.7,65.0
190,10/23/2025 14:05:15,More than half the time,Some,2:00pm,47.0,Junior,Some of them,2.0,7.0,No,B,No,39.5,65.0
191,10/25/2025 13:04:20,Always,Some,2:00pm,8.0,Junior,All of them,3.0,9.0,No,C,No,50.3,65.0
192,10/26/2025 15:23:58,Always,None,9:30am,10.0,Junior,Some of them,0.0,9.0,No,B,No,51.4,65.0
193,10/26/2025 18:14:39,More than half the time,Some,2:00pm,11.0,Junior,All of them,6.0,7.0,No,D,No,37.4,65.0
